time_s,longitude_deg,latitude_deg,height_m,speed_mps,theta_deg,psi_deg
322.747277,29.629288,37.487852,464542.091,2685.218,2.2817,97.7227
326.885063,29.745472,37.475273,464923.253,2684.020,1.6510,97.8161
331.022848,29.861598,37.462545,465182.059,2683.210,1.0200,97.9094
335.160634,29.977671,37.449667,465318.519,2682.787,0.3886,98.0026
339.298420,30.093695,37.436640,465332.635,2682.753,-0.2429,98.0957
343.436205,30.209673,37.423464,465224.410,2683.106,-0.8743,98.1887
347.573991,30.325611,37.410137,464993.839,2683.847,-1.5054,98.2816
351.711776,30.441513,37.396659,464640.914,2684.976,-2.1361,98.3744
355.849562,30.557383,37.383030,464165.626,2686.493,-2.7662,98.4672
359.987348,30.673225,37.369250,463567.957,2688.396,-3.3956,98.5598
364.125133,30.789044,37.355319,462847.889,2690.685,-4.0240,98.6523
368.262919,30.904843,37.341234,462005.398,2693.361,-4.6512,98.7448
372.400704,31.020627,37.326997,461040.458,2696.421,-5.2772,98.8371
376.538490,31.136401,37.312607,459953.036,2699.865,-5.9017,98.9294
380.676276,31.252168,37.298063,458743.098,2703.692,-6.5246,99.0216
384.814061,31.367933,37.283364,457410.605,2707.901,-7.1457,99.1136
388.951847,31.483700,37.268511,455955.513,2712.491,-7.7648,99.2056
393.089632,31.599474,37.253502,454377.775,2717.460,-8.3819,99.2976
397.227418,31.715258,37.238337,452677.340,2722.807,-8.9966,99.3894
401.365204,31.831056,37.223015,450854.153,2728.531,-9.6090,99.4812
405.502989,31.946875,37.207536,448908.154,2734.630,-10.2188,99.5729
409.640775,32.062716,37.191898,446839.281,2741.103,-10.8259,99.6645
413.778561,32.178585,37.176102,444647.465,2747.947,-11.4301,99.7560
417.916346,32.294487,37.160146,442332.635,2755.161,-12.0314,99.8474
422.054132,32.410425,37.144030,439894.717,2762.743,-12.6296,99.9388
426.191917,32.526403,37.127753,437333.630,2770.690,-13.2245,100.0301
430.329703,32.642427,37.111314,434649.290,2779.002,-13.8160,100.1213
434.467489,32.758500,37.094712,431841.610,2787.676,-14.4041,100.2125
438.605274,32.874627,37.077947,428910.499,2796.710,-14.9885,100.3036
442.743060,32.990812,37.061018,425855.859,2806.101,-15.5692,100.3946
446.880845,33.107059,37.043923,422677.591,2815.848,-16.1462,100.4856
451.018631,33.223374,37.026662,419375.590,2825.948,-16.7192,100.5765
455.156417,33.339760,37.009235,415949.748,2836.398,-17.2882,100.6673
459.294202,33.456221,36.991639,412399.951,2847.197,-17.8531,100.7581
463.431988,33.572763,36.973874,408726.084,2858.342,-18.4138,100.8488
467.569773,33.689390,36.955939,404928.023,2869.831,-18.9702,100.9394
471.707559,33.806106,36.937834,401005.645,2881.660,-19.5223,101.0300
475.845345,33.922916,36.919556,396958.818,2893.829,-20.0699,101.1205
479.983130,34.039824,36.901105,392787.408,2906.333,-20.6131,101.2110
484.120916,34.156835,36.882480,388491.278,2919.171,-21.1517,101.3014
488.258701,34.273953,36.863680,384070.283,2932.340,-21.6857,101.3917
492.396487,34.391183,36.844703,379524.277,2945.838,-22.2151,101.4821
496.534273,34.508530,36.825548,374853.107,2959.662,-22.7397,101.5723
500.672058,34.625998,36.806214,370056.617,2973.810,-23.2596,101.6625
504.809844,34.743592,36.786700,365134.647,2988.279,-23.7746,101.7527
508.947629,34.861317,36.767005,360087.030,3003.066,-24.2848,101.8428
513.085415,34.979177,36.747127,354913.598,3018.169,-24.7902,101.9329
517.223201,35.097178,36.727065,349614.175,3033.586,-25.2906,102.0229
521.360986,35.215323,36.706817,344188.582,3049.314,-25.7861,102.1129
525.498772,35.333618,36.686383,338636.636,3065.351,-26.2767,102.2028
529.636557,35.452068,36.665760,332958.148,3081.694,-26.7623,102.2927
533.774343,35.570678,36.644948,327152.925,3098.341,-27.2429,102.3826
537.912129,35.689451,36.623945,321220.769,3115.290,-27.7185,102.4724
542.049914,35.808395,36.602748,315161.477,3132.537,-28.1891,102.5622
546.187700,35.927512,36.581358,308974.841,3150.082,-28.6548,102.6520
550.325485,36.046809,36.559772,302660.650,3167.922,-29.1154,102.7417
554.463271,36.166291,36.537988,296218.685,3186.054,-29.5710,102.8314
558.601057,36.285962,36.516005,289648.724,3204.476,-30.0215,102.9211
562.738842,36.405828,36.493821,282950.540,3223.186,-30.4671,103.0107
566.876628,36.525894,36.471435,276123.900,3242.183,-30.9077,103.1004
571.014414,36.646166,36.448845,269168.567,3261.464,-31.3434,103.1900
575.152199,36.766647,36.426049,262084.299,3281.026,-31.7740,103.2796
579.289985,36.887345,36.403044,254870.846,3300.869,-32.1998,103.3691
583.427770,37.008264,36.379830,247527.956,3320.990,-32.6205,103.4587
587.565556,37.129410,36.356404,240055.371,3341.388,-33.0364,103.5482
591.703342,37.250787,36.332765,232452.827,3362.060,-33.4474,103.6377
595.841127,37.372403,36.308910,224720.055,3383.005,-33.8535,103.7272
599.978913,37.494262,36.284838,216856.779,3404.222,-34.2548,103.8167
604.116698,37.616369,36.260545,208862.720,3425.708,-34.6513,103.9062
608.254484,37.738732,36.236031,200737.592,3447.462,-35.0430,103.9956
612.392270,37.861354,36.211293,192481.104,3469.483,-35.4300,104.0851
616.530055,37.984243,36.186329,184092.958,3491.769,-35.8122,104.1746
620.667841,38.107404,36.161136,175572.852,3514.319,-36.1897,104.2640
624.805626,38.230843,36.135713,166920.477,3537.131,-36.5626,104.3535
628.943412,38.354566,36.110057,158135.519,3560.205,-36.9309,104.4430
633.081198,38.478579,36.084165,149217.656,3583.539,-37.2946,104.5325
637.218983,38.602889,36.058035,140166.563,3607.131,-37.6537,104.6219
641.356769,38.727500,36.031665,130981.908,3630.982,-38.0083,104.7114
645.494554,38.852421,36.005052,121663.354,3655.087,-38.3584,104.8009
649.632340,38.977656,35.978193,112210.566,3679.442,-38.7041,104.8905
653.770126,39.103212,35.951086,102623.234,3704.021,-39.0454,104.9800
657.907911,39.229093,35.923730,92901.185,3728.718,-39.3824,105.0695
662.045697,39.355294,35.896122,83044.889,3753.054,-39.7151,105.1591
666.183482,39.481775,35.868272,73057.796,3774.826,-40.0438,105.2487
670.321268,39.608316,35.840227,62957.278,3783.840,-40.3695,105.3381
674.459054,39.733916,35.812210,52823.980,3735.447,-40.6968,105.4268
678.596839,39.854600,35.785121,42979.915,3484.671,-41.0441,105.5124
682.734625,39.960685,35.761169,34218.320,2891.516,-41.4663,105.5896
686.872410,40.044112,35.742238,27206.422,2215.863,-42.1818,105.6538
691.010196,40.107090,35.727888,21747.354,1710.519,-43.1546,105.7063
695.147982,40.155703,35.716773,17391.066,1362.957,-44.0850,105.7510
699.285767,40.194327,35.707917,13821.616,1110.137,-44.9255,105.7904
703.423553,40.225526,35.700744,10858.309,912.059,-45.6609,105.8263
707.561338,40.250728,35.694936,8405.030,738.759,-46.3720,105.8596
711.699124,40.270539,35.690360,6422.665,578.322,-47.3160,105.8914
715.836910,40.285454,35.686908,4866.185,438.812,-48.8696,105.9226
719.974695,40.296273,35.684399,3655.595,331.159,-51.3651,105.9549
724.112481,40.303993,35.682604,2693.610,256.357,-54.8990,105.9904
728.250267,40.309515,35.681317,1895.876,207.353,-59.2580,106.0312
732.388052,40.313507,35.680384,1203.185,175.854,-64.0022,106.0800
736.525838,40.316423,35.679700,578.489,155.411,-68.6459,106.1396
740.663623,40.318570,35.679194,0.000,141.680,-72.8222,106.2139
